Episode,GPU Time,CPU Time,MSE,RMSE
Episode_1,0.153450131,0.079765183,0.000252792,0.015899437
Episode_2,0.201933732,0.081292177,0.000110803,0.010526314
Episode_3,0.055895609,0.075057862,0.0003637,0.019070922
Episode_4,0.053470518,0.074689648,0.000842874,0.029032296
Episode_5,0.054466724,0.074756597,0.000423249,0.020573011
Episode_6,0.055355837,0.074700907,0.00010671,0.010330054
Episode_7,0.053036171,0.074576447,4.99E-05,0.007065915
Episode_8,0.057084083,0.074813651,3.53E-05,0.005941641
Episode_9,0.057833812,0.074940285,5.97E-05,0.007726782
